dc;md
0.000000000000000e+00;-22.772438
1.000000000000000e-02;-22.772396
2.000000000000000e-02;-22.772337
3.000000000000000e-02;-22.772258
4.000000000000000e-02;-22.772150
5.000000000000000e-02;-22.772004
6.000000000000000e-02;-22.771806
7.000000000000001e-02;-22.771537
8.000000000000000e-02;-22.771176
9.000000000000000e-02;-22.770689
9.999999999999999e-02;-22.770037
1.100000000000000e-01;-22.769165
1.200000000000000e-01;-22.768005
1.300000000000000e-01;-22.766468
1.400000000000000e-01;-22.764441
1.500000000000000e-01;-22.761782
1.600000000000000e-01;-22.758314
1.700000000000000e-01;-22.753819
1.800000000000000e-01;-22.748031
1.900000000000000e-01;-22.740633
2.000000000000000e-01;-22.731246
2.100000000000000e-01;-22.719433
2.200000000000001e-01;-22.704692
2.300000000000001e-01;-22.686460
2.400000000000001e-01;-22.664121
2.500000000000001e-01;-22.637021
2.600000000000001e-01;-22.604483
2.700000000000001e-01;-22.565836
2.800000000000001e-01;-22.520439
2.900000000000001e-01;-22.467709
3.000000000000001e-01;-22.407148
3.100000000000001e-01;-22.338355
3.200000000000001e-01;-22.261038
3.300000000000001e-01;-22.175012
3.400000000000001e-01;-22.080193
3.500000000000001e-01;-21.976585
3.600000000000002e-01;-21.864261
3.700000000000002e-01;-21.743351
3.800000000000002e-01;-21.614021
3.900000000000002e-01;-21.476461
4.000000000000002e-01;-21.330876
4.100000000000002e-01;-21.177470
4.200000000000002e-01;-21.016443
4.300000000000002e-01;-20.847987
4.400000000000002e-01;-20.672279
4.500000000000002e-01;-20.489483
4.600000000000002e-01;-20.299749
4.700000000000003e-01;-20.103214
4.800000000000003e-01;-19.900005
4.900000000000003e-01;-19.690247
5.000000000000002e-01;-19.474071
5.100000000000002e-01;-19.251626
5.200000000000002e-01;-19.023098
5.300000000000002e-01;-18.788730
5.400000000000003e-01;-18.548847
5.500000000000003e-01;-18.303879
5.600000000000003e-01;-18.054370
5.700000000000003e-01;-17.800973
5.800000000000003e-01;-17.544408
5.900000000000003e-01;-17.285406
6.000000000000003e-01;-17.024640
6.100000000000003e-01;-16.762660
6.200000000000003e-01;-16.499866
6.300000000000003e-01;-16.236496
6.400000000000003e-01;-15.972657
6.500000000000004e-01;-15.708368
6.600000000000004e-01;-15.443616
6.700000000000004e-01;-15.178423
6.800000000000004e-01;-14.912905
6.900000000000004e-01;-14.647321
7.000000000000004e-01;-14.382100
7.100000000000004e-01;-14.117830
7.200000000000004e-01;-13.855214
7.300000000000004e-01;-13.594989
7.400000000000004e-01;-13.337801
7.500000000000004e-01;-13.084049
7.600000000000005e-01;-12.833681
7.700000000000005e-01;-12.585908
7.800000000000005e-01;-12.338725
7.900000000000005e-01;-12.087917
8.000000000000005e-01;-11.824448
8.100000000000005e-01;-11.525333
8.200000000000005e-01;-11.075717
8.300000000000005e-01;-9.065942
8.400000000000005e-01;-8.739995
8.500000000000005e-01;-8.675883
8.600000000000005e-01;-8.638470
8.700000000000006e-01;-8.612241
8.800000000000006e-01;-8.592074
8.900000000000006e-01;-8.575865
9.000000000000006e-01;-8.562447
9.100000000000006e-01;-8.551115
9.200000000000006e-01;-8.541411
9.300000000000006e-01;-8.533022
9.400000000000006e-01;-8.525732
9.500000000000006e-01;-8.519390
9.600000000000006e-01;-8.513891
9.700000000000006e-01;-8.509164
9.800000000000006e-01;-8.505151
9.900000000000007e-01;-8.501790
1.000000000000000e+00;-8.498998
1.000000000000000e+00;nan
